1.120000000000000000e+02,1.320000000000000000e+02,1.210000000000000000e+02,1.480000000000000000e+02,1.360000000000000000e+02,1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02
1.180000000000000000e+02,1.290000000000000000e+02,1.350000000000000000e+02,1.480000000000000000e+02,1.190000000000000000e+02,1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02
1.320000000000000000e+02,1.210000000000000000e+02,1.480000000000000000e+02,1.360000000000000000e+02,1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02
1.290000000000000000e+02,1.350000000000000000e+02,1.480000000000000000e+02,1.190000000000000000e+02,1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02
1.210000000000000000e+02,1.480000000000000000e+02,1.360000000000000000e+02,1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02,1.580000000000000000e+02
1.350000000000000000e+02,1.480000000000000000e+02,1.190000000000000000e+02,1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02,1.330000000000000000e+02
1.480000000000000000e+02,1.360000000000000000e+02,1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02,1.580000000000000000e+02,1.140000000000000000e+02
1.480000000000000000e+02,1.190000000000000000e+02,1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02,1.330000000000000000e+02,1.400000000000000000e+02
1.360000000000000000e+02,1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02,1.580000000000000000e+02,1.140000000000000000e+02,1.450000000000000000e+02
1.190000000000000000e+02,1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02,1.330000000000000000e+02,1.400000000000000000e+02,1.500000000000000000e+02
1.040000000000000000e+02,1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02,1.580000000000000000e+02,1.140000000000000000e+02,1.450000000000000000e+02,1.780000000000000000e+02
1.180000000000000000e+02,1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02,1.330000000000000000e+02,1.400000000000000000e+02,1.500000000000000000e+02,1.630000000000000000e+02
1.150000000000000000e+02,1.410000000000000000e+02,1.250000000000000000e+02,1.700000000000000000e+02,1.580000000000000000e+02,1.140000000000000000e+02,1.450000000000000000e+02,1.780000000000000000e+02,1.720000000000000000e+02
1.260000000000000000e+02,1.350000000000000000e+02,1.490000000000000000e+02,1.700000000000000000e+02,1.330000000000000000e+02,1.400000000000000000e+02,1.500000000000000000e+02,1.630000000000000000e+02,1.780000000000000000e+02
